latitude,longitude,Altitude,track_seg_point_id,time
-2.448481,54.160723,232.4,163,2021/09/11 09:15:49+00
-2.44836,54.160836,233.6,164,2021/09/11 09:15:54+00
-2.448285,54.160905,234.4,165,2021/09/11 09:15:57+00
-2.448243,54.160953,234.6,166,2021/09/11 09:15:59+00
-2.448165,54.161062,235.8,167,2021/09/11 09:16:03+00
-2.448127,54.161122,236,168,2021/09/11 09:16:05+00
-2.44793,54.161347,236.8,169,2021/09/11 09:16:13+00
-2.447794,54.161521,238,170,2021/09/11 09:16:19+00
-2.447729,54.161612,238.6,171,2021/09/11 09:16:22+00
-2.447639,54.161711,239,172,2021/09/11 09:16:25+00
-2.447397,54.161955,238.6,173,2021/09/11 09:16:32+00
-2.447133,54.162231,238.8,174,2021/09/11 09:16:40+00
-2.446848,54.162497,239.6,175,2021/09/11 09:16:48+00
-2.446618,54.162722,240,176,2021/09/11 09:16:54+00
-2.446546,54.162799,240,177,2021/09/11 09:16:56+00
-2.446506,54.162834,240.2,178,2021/09/11 09:16:57+00
-2.446319,54.163013,241,179,2021/09/11 09:17:02+00
-2.446283,54.16305,241.2,180,2021/09/11 09:17:03+00
-2.446203,54.163126,241.2,181,2021/09/11 09:17:04+00
-2.445852,54.163467,241.2,182,2021/09/11 09:17:13+00
-2.445728,54.163594,241.4,183,2021/09/11 09:17:16+00
-2.445523,54.16378,241.6,184,2021/09/11 09:17:21+00
-2.445257,54.164038,241.8,185,2021/09/11 09:17:27+00
-2.445215,54.164079,242,186,2021/09/11 09:17:28+00
-2.444922,54.164367,242,187,2021/09/11 09:17:36+00
-2.444819,54.164468,242.2,188,2021/09/11 09:17:39+00
-2.444607,54.164646,242.8,189,2021/09/11 09:17:44+00
-2.444235,54.16487,243,190,2021/09/11 09:17:50+00
-2.443721,54.165176,243.2,191,2021/09/11 09:17:57+00
-2.443341,54.165405,243.6,192,2021/09/11 09:18:02+00
-2.443092,54.165549,243.6,193,2021/09/11 09:18:05+00
-2.442757,54.165735,243.8,194,2021/09/11 09:18:09+00
-2.442449,54.165916,244.2,195,2021/09/11 09:18:13+00
-2.441824,54.166296,244.2,196,2021/09/11 09:18:21+00
-2.441265,54.166638,244.2,197,2021/09/11 09:18:28+00
-2.440592,54.167052,244.2,198,2021/09/11 09:18:36+00
-2.440509,54.167102,244,199,2021/09/11 09:18:37+00
-2.440167,54.167304,243.8,200,2021/09/11 09:18:41+00
-2.439815,54.167521,243.2,201,2021/09/11 09:18:45+00
-2.439083,54.167923,243.6,202,2021/09/11 09:18:53+00
-2.438987,54.16797,243.6,203,2021/09/11 09:18:54+00
-2.438426,54.168248,244,204,2021/09/11 09:19:00+00
-2.438334,54.168292,244.2,205,2021/09/11 09:19:01+00
-2.437587,54.168662,244.4,206,2021/09/11 09:19:09+00
-2.437497,54.16871,244.6,207,2021/09/11 09:19:10+00
-2.436734,54.169096,244.6,208,2021/09/11 09:19:18+00
-2.436637,54.169144,244.4,209,2021/09/11 09:19:19+00
-2.436435,54.169245,244.2,210,2021/09/11 09:19:21+00
-2.436226,54.169349,244,211,2021/09/11 09:19:23+00
-2.435806,54.169566,243.6,212,2021/09/11 09:19:27+00
-2.435706,54.169616,243,213,2021/09/11 09:19:28+00
-2.435147,54.1699,243.6,214,2021/09/11 09:19:34+00
-2.435068,54.169941,244.2,215,2021/09/11 09:19:35+00
-2.434783,54.170093,245.4,216,2021/09/11 09:19:39+00
-2.434575,54.170209,246,217,2021/09/11 09:19:42+00
-2.434299,54.17035,246.4,218,2021/09/11 09:19:46+00
-2.434095,54.170454,247.2,219,2021/09/11 09:19:49+00
-2.434023,54.170491,247.6,220,2021/09/11 09:19:50+00
-2.433948,54.170528,247.6,221,2021/09/11 09:19:51+00
-2.43355,54.170734,248.2,222,2021/09/11 09:19:56+00
-2.433392,54.170811,248.2,223,2021/09/11 09:19:58+00
-2.432686,54.171163,247.8,224,2021/09/11 09:20:07+00
-2.432103,54.171456,247,225,2021/09/11 09:20:13+00
-2.431921,54.171552,247,226,2021/09/11 09:20:15+00
-2.431504,54.17178,247.4,227,2021/09/11 09:20:20+00
-2.43143,54.171816,247.6,228,2021/09/11 09:20:21+00
-2.431225,54.171922,248.8,229,2021/09/11 09:20:24+00
-2.431018,54.172026,249.4,230,2021/09/11 09:20:27+00
-2.430868,54.1721,249.6,231,2021/09/11 09:20:29+00
-2.43079,54.172142,249.8,232,2021/09/11 09:20:30+00
-2.430223,54.172433,249.8,233,2021/09/11 09:20:37+00
-2.429441,54.172819,249.8,234,2021/09/11 09:20:46+00
-2.428653,54.173209,249.6,235,2021/09/11 09:20:55+00
-2.428176,54.173462,249.6,236,2021/09/11 09:21:00+00
-2.427989,54.17355,250,237,2021/09/11 09:21:02+00
-2.427333,54.173854,250.6,238,2021/09/11 09:21:09+00
-2.426624,54.174187,250,239,2021/09/11 09:21:15+00
-2.426042,54.174464,248.6,240,2021/09/11 09:21:20+00
-2.425932,54.174515,248.4,241,2021/09/11 09:21:21+00
-2.42561,54.17468,248.2,242,2021/09/11 09:21:24+00
-2.425392,54.174791,248.2,243,2021/09/11 09:21:26+00
-2.425288,54.174846,248.2,244,2021/09/11 09:21:27+00
-2.425082,54.174955,248,245,2021/09/11 09:21:29+00
-2.424518,54.175226,249.6,246,2021/09/11 09:21:35+00
-2.424419,54.175273,249.6,247,2021/09/11 09:21:36+00
-2.424323,54.17532,249.6,248,2021/09/11 09:21:37+00
-2.424008,54.175468,249.2,249,2021/09/11 09:21:40+00
-2.423779,54.175579,248.8,250,2021/09/11 09:21:42+00
-2.423659,54.175638,248.2,251,2021/09/11 09:21:43+00
-2.423408,54.175761,247,252,2021/09/11 09:21:45+00
-2.423017,54.175949,246.2,253,2021/09/11 09:21:48+00
-2.422884,54.176012,246,254,2021/09/11 09:21:49+00
-2.422514,54.176202,244.8,255,2021/09/11 09:21:52+00
-2.422171,54.176373,244.6,256,2021/09/11 09:21:55+00
-2.421449,54.176765,245.2,257,2021/09/11 09:22:02+00
-2.421355,54.176823,245.4,258,2021/09/11 09:22:03+00
-2.421081,54.176994,246,259,2021/09/11 09:22:06+00
-2.420801,54.177148,247.2,260,2021/09/11 09:22:09+00
-2.420618,54.177248,247.2,261,2021/09/11 09:22:11+00
-2.42036,54.177397,246.6,262,2021/09/11 09:22:14+00
-2.420084,54.177546,246,263,2021/09/11 09:22:17+00
-2.419892,54.177644,246,264,2021/09/11 09:22:19+00
-2.419143,54.178036,245.4,265,2021/09/11 09:22:27+00
-2.418488,54.178382,245.8,266,2021/09/11 09:22:34+00
-2.418388,54.178433,245.8,267,2021/09/11 09:22:35+00
-2.418177,54.178537,245.6,268,2021/09/11 09:22:37+00
-2.417722,54.17877,245.4,269,2021/09/11 09:22:41+00
-2.417045,54.179129,245,270,2021/09/11 09:22:47+00
-2.416821,54.179233,244.8,271,2021/09/11 09:22:49+00
-2.416064,54.179637,244.2,272,2021/09/11 09:22:56+00
-2.415953,54.179696,244.2,273,2021/09/11 09:22:57+00
-2.415396,54.179997,243.8,274,2021/09/11 09:23:02+00
-2.415173,54.180127,243.4,275,2021/09/11 09:23:04+00
-2.414477,54.180498,243.4,276,2021/09/11 09:23:10+00
-2.414249,54.180623,243.2,277,2021/09/11 09:23:12+00
-2.414016,54.180752,242.6,278,2021/09/11 09:23:14+00
-2.413283,54.181155,242.4,279,2021/09/11 09:23:20+00
-2.412704,54.181464,242.6,280,2021/09/11 09:23:25+00
-2.411987,54.181831,242,281,2021/09/11 09:23:31+00
-2.411864,54.181901,241.4,282,2021/09/11 09:23:32+00
-2.411363,54.182171,240.4,283,2021/09/11 09:23:36+00
-2.410975,54.182381,240.4,284,2021/09/11 09:23:39+00
-2.410257,54.182779,239.6,285,2021/09/11 09:23:45+00
-2.410147,54.182846,239.4,286,2021/09/11 09:23:46+00
-2.409465,54.183221,238.8,287,2021/09/11 09:23:52+00
-2.409346,54.183283,239,288,2021/09/11 09:23:53+00
-2.408578,54.18368,240.4,289,2021/09/11 09:24:00+00
-2.408403,54.183759,241.4,290,2021/09/11 09:24:02+00
-2.408185,54.183858,242.8,291,2021/09/11 09:24:05+00
-2.40801,54.183951,244,292,2021/09/11 09:24:08+00
-2.407911,54.184006,245,293,2021/09/11 09:24:10+00
-2.407812,54.18406,245.6,294,2021/09/11 09:24:12+00
-2.407762,54.184087,245.8,295,2021/09/11 09:24:13+00
-2.407703,54.184115,245.8,296,2021/09/11 09:24:14+00
-2.40765,54.184147,246,297,2021/09/11 09:24:15+00
-2.407343,54.184325,246.2,298,2021/09/11 09:24:20+00
